model,image,garden,original_width,original_height,input_height,input_width,tp,fp,tn,fn,pred_boundary,true_boundary,matched_pred_boundary,matched_true_boundary,boundary_band_pixels,boundary_band_errors,mowable_iou,nonmowable_false_positive_rate,predicted_mowable_error_fraction,boundary_precision,boundary_recall,boundary_f1,boundary_band_error_rate,model_ms,end_to_end_ms
mit_resnet18_ade20k,images/1G0051859.jpg,1,4000,3000,600,800,3973401,64878,2800203,5161518,26220,16171,2017,2068,76859,35167,0.43190094303167775,0.022644385970239586,0.01606575474354298,0.07692601067887109,0.12788324778925236,0.09606546265207891,0.4575521409333975,235.7211151123047,2755.4217409997364
mit_resnet18_ade20k,images/1G0061900.jpg,1,4000,3000,600,800,9277743,44645,2666475,11137,8414,12570,2954,2964,60127,27059,0.9940234798749669,0.016467364041429372,0.0047890089964073585,0.35108153078202997,0.23579952267303103,0.2821180097409935,0.45003076820729454,44.966270446777344,2761.7428700004893
mit_resnet18_ade20k,images/1G0061933.jpg,1,4000,3000,600,800,5855387,19174,5005975,1119464,19409,12486,1634,1805,59766,27364,0.8371984658333363,0.0038156082536060123,0.0032639034644461095,0.08418774795198104,0.14456190933845908,0.10640751755436138,0.4578522906000067,137.84442138671875,2685.9200859998964
mit_resnet18_ade20k,images/1G0061945.jpg,1,4000,3000,600,800,1168620,13256,3718293,7099831,15862,11981,1151,1268,56346,26146,0.1411085902942473,0.0035524121484134335,0.011216066660123397,0.07256335897112597,0.10583423754277606,0.08609631430380195,0.4640258403435914,46.02076721191406,2631.4621809997334
mit_resnet18_ade20k,images/1G0071975.jpg,1,4000,3000,600,800,2889358,24093,3001179,6085370,31138,11357,2812,2843,52172,22953,0.32108183949875213,0.007963912005267625,0.008269574466843616,0.09030766266298414,0.25033019283261426,0.1327317809454658,0.4399486314498198,180.9981689453125,2772.711005000019
mit_resnet18_ade20k,images/1G0082036.jpg,1,4000,3000,600,800,2525693,53764,3475033,5945510,19769,11064,2634,2815,51870,22606,0.2962701204591173,0.015235787153525691,0.020843146445162684,0.13323890940361172,0.2544287780187997,0.17489109360399435,0.43582032003084636,174.9567108154297,2752.3938839995026
mit_resnet18_ade20k,images/1G0082048.jpg,1,4000,3000,600,800,6767054,90264,3138776,2003906,39768,12045,3086,3341,57232,23117,0.7636703462185359,0.027953819091742438,0.013163163790858174,0.0776000804667069,0.277376504773765,0.12127244435255788,0.40391738887335754,143.83001708984375,2658.9546349996454
mit_resnet18_ade20k,images/1G0082098.jpg,1,4000,3000,600,800,5944007,42407,4744521,1269065,16652,11571,2257,2526,55090,24398,0.8192439120835441,0.008858917451860567,0.007083873584419654,0.13553927456161421,0.2183043816437646,0.16724232300179268,0.44287529497186423,45.81808090209961,2752.8206150000187
mit_resnet18_ade20k,images/1G0092129.jpg,1,4000,3000,600,800,9500130,78785,2411524,9561,8964,16281,2751,2763,75899,34234,0.9907862313051625,0.031636636256785804,0.008224835485021008,0.3068942436412316,0.16970702045328911,0.21855631365799372,0.4510467858601563,162.0133056640625,2702.912138999636
mit_resnet18_ade20k,images/2G0383621.jpg,2,4000,3000,600,800,8716748,72053,3194771,16428,8100,10772,1409,1474,49966,22540,0.9899513118852445,0.022055978528381082,0.008198274144561927,0.17395061728395061,0.13683624210917192,0.15317731790968578,0.4511067525917624,41.94793701171875,2594.454434999534
